language,dialect,accent,text,transliteration,sentiment_1,sentiment_2,sentiment_3
Kurdish,Southern Kurdish,Southern Kurdish,زوو که,zu ka,negative,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,په هایده کوو عزیزەکم؟,pa hāyda ku azizakam?,positive,negative,positive
Kurdish,Southern Kurdish,Southern Kurdish,باو بچیم ناهار بخوێم. آی نه، یەی چەشتە گه‌نێگ خواردەمە، دڵەم شیویاسە یەک,"bāw bechim nāhār bkhweym. āy na, yey cheshte ganig khwardema, delem shiwiyāsa yak.",negative,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,منو تۆنو حەسەن,meno tono hasan,neutral,neutral,neutral
Kurdish,Southern Kurdish,Southern Kurdish,گۆڵۆ بڵبڵۆ سۆمۆڵ,golu belbelu semmol,positive,positive,neutral
Kurdish,Southern Kurdish,Southern Kurdish,پەنج بە ئەلاوەی چوار بە ئەلاوەی سێ,panj be alāwey chwār be alāwey se,neutral,positive,neutral
Kurdish,Southern Kurdish,Southern Kurdish,یه په ئەڕا نێتیەی؟,ya pa arrā nyatiey?,negative,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,کەمەرەم شێکیا,kamarem shekyā,negative,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,ئی کارە ئەقوەره وە فس فس کەردنو دێر جۆمین نیازێ نێرێ,i kāra aqwara wa fes fes kerdeno dir jomin niāzi neyre,negative,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,یەی دەفعە تەر ئیجو بوود وە گەردی جەنگ کەم,yey dafa ter iju bud wa gardi jang kam,negative,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,ئەقوەره خاس بی، دڵەم شیویاسە وە یەک,"aqwara khās bi, delem shiwiyā wa yak",negative,positive,neutral
Kurdish,Southern Kurdish,Southern Kurdish,ئەڕا؟,arrā?,neutral,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,وە گەردە ئاێه‌مە خەتەرناکێگ دەر کەفتیه,wa garde āyeme khatarnākig dar kaftiyā,negative,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,خۆدا زانێ، خەدیجە.,"khodā zāni, khadija.",neutral,neutral,neutral
Kurdish,Southern Kurdish,Southern Kurdish,دی ئەقوەرەیش شوخو شێنگ بوون و خه‌نە خه‌نە کەردن خاس نیە,di aqwareish shukho sheng buno khana khana kerden khās niya,negative,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,مەگە هیشتەنەسه شوونەت؟,maga hishtenasa shunet?,negative,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,نانە گەنم ئەڕای هەزم مەدەی فولادی توێ,nāne ganem arrāy hazm midey fulādi tuey,negative,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,ئی ئاێه‌مە فره ده‌س و شەکە,i āyema fera das wa shaka,negative,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,چقوی تیژ، ئەڕای کاوەره‌گه هاتیه,"chaquy tizh, arrāy kāweraga hātiya",neutral,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,ئەڕای خۆوت بخۆوه، ئەڕای مەردەم بکە وه‌ر,"arrāy khwad bokhowa, arrāy mardem beka war.",negative,positive,positive
Kurdish,Southern Kurdish,Southern Kurdish,سەفرەی باوگ ئیوه ها سەرە کوچه,sefrey bāwge iwa hā sare kucha,negative,positive,neutral
Kurdish,Southern Kurdish,Southern Kurdish,ئی گۆڵ‌دەمەیله چه‌نی قەشەنگەن,i guldameyla chani ghashangen,positive,positive,positive
Kurdish,Southern Kurdish,Southern Kurdish,ماڵ ئیوه,māle iwa,neutral,negative,positive
Kurdish,Southern Kurdish,Southern Kurdish,خۆدا خەره‌گه دی کە شاخ نیاسه پی,khodā kharaga di ke shākh niyāsa pi,negative,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,ئاو طەره‌فە ماره‌گه کوشت، ئەما مناڵ ماره‌گه زەنه هیشت,"āw tarafa māraga kosht, amā menāle māraga zena hisht",negative,neutral,negative
Kurdish,Southern Kurdish,Southern Kurdish,جەنگەلی شوتور دیاس,jangali shotor diyās,neutral,positive,neutral
Kurdish,Southern Kurdish,Southern Kurdish,چاو زەمسان کوڕە,chāwe zemsān kura,negative,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,پەشی‌یه‌گه بۆڕاغ کەردیه,peshiyaga burāgh kerdiya,negative,negative,neutral
Kurdish,Southern Kurdish,Southern Kurdish,خڕە سەرەت. ئەیبیگ نێرێ,kherre saret. eybig neyri,positive,positive,positive
Kurdish,Southern Kurdish,Southern Kurdish,لوتی چه‌نی سڕە. دەمی مه‌نیده قەنە ئنتەر,luti chani serra. Dami manida qene antar.,negative,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,چۆمانی وە قەنە فیل کەفتیه,chumāni wa qene fil kaftiya,negative,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,تۆنو خۆدا باینه ناو ماڵ,tono khodā bāyna nāw māl,positive,positive,positive
Kurdish,Southern Kurdish,Southern Kurdish,ئبده یه کی بی؟,abda ya ki bi?,neutral,neutral,neutral
Kurdish,Southern Kurdish,Southern Kurdish,غلام وەگەردە ئاۆرە سیه هات و دۆت‌گه برد و قەصرە شای پەریان,gholām wagarde āwre siya hāt wa dotaga berd wa qasre shahe parian,neutral,positive,negative
Kurdish,Southern Kurdish,Southern Kurdish,ئی وبه چه‌نی قەشەنگه,i weba chani ghashanga,positive,positive,positive
Kurdish,Southern Kurdish,Southern Kurdish,تۆوام یەخه بدەڕەم,towam yakha bederrem,negative,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,گو وە ناو کارەگەت,gu wa nāw kāragat,negative,negative,negative
Kurdish,Southern Kurdish,Southern Kurdish,برعەکسە داڵگی کە زانا بی، خۆی وە نەزەر شیته,"barakse dālegi ke zānā bi, khwey wa nazar shita",negative,negative,negative
Unclassified,Dezfuli,Dezfuli,دارُم برُُم,darowm berowm,neutral,neutral,neutral
Unclassified,Dezfuli,Dezfuli,اَ خِرسی خُوَراش، بِتِرِكِهَ. (مياش بِريزِهِن.),"a khersi khowarash, beterkeh. (miyash berizehen.)",neutral,negative,neutral
Unclassified,Dezfuli,Dezfuli,گُسنَمَ,gosnam,neutral,positive,neutral
Unclassified,Dezfuli,Dezfuli,مو چایی نَمخَرُم.,mow chāei namkhowarowm,neutral,neutral,positive
Unclassified,Dezfuli,Dezfuli,عالی بید؛ بوسی بِ جونت، دورت گَردام.,"āali bid, bosi beh jonet, dowret gardām",positive,positive,positive
Unclassified,Dezfuli,Dezfuli,اَفتو اَ كولا دَر اومَسَ.,aftow a kolā dar omasa,neutral,negative,negative
Unclassified,Dezfuli,Dezfuli,خدا زِيدَ مِ سَرِش.,khodā zayda me saresh,negative,negative,neutral
Unclassified,Dezfuli,Dezfuli,چِ ساختيَه,che sākhtiyah,neutral,neutral,neutral
Unclassified,Dezfuli,Dezfuli,دُختَرون دارِن بِروِن,dokhtaron dāren berowen,neutral,neutral,neutral
Unclassified,Dezfuli,Dezfuli,دُختَرون داشتِن بِرَفتِن,dokhtaron dāshten beraften,neutral,neutral,negative
Unclassified,Dezfuli,Dezfuli,روانشناسون خواص زياديَه سی گِريوِسَن گُفتِنَ و گِريوِسَن را سی گُرُختَن اَ فشار غُصَ دونِن.,ravānshenāson khavāse ziyādieh si gerivesan goften va gerivesan rā si gorokhtan a feshāre ghoseh donen,neutral,negative,negative
Unclassified,Dezfuli,Dezfuli,ای مربا خُوَردَن دارَ.,i morabā khowrdan dāra,positive,positive,positive
Unclassified,Dezfuli,Dezfuli,مِنِ كُلِ عُمرُم ايطور غذایی نخُوَردَمِ,mene kole omrom itor ghazāi nakhowardam,neutral,positive,positive
Unclassified,Dezfuli,Dezfuli,اهل هوش چطورِن؟,ahle howsh chetoran,neutral,positive,neutral
Unclassified,Dezfuli,Dezfuli,دَستون بی بلا سی پخش ای فیلم سی گیوَ هرسينی.,daston bi balā si pakhshe i film si giva hersini,positive,positive,positive
Unclassified,Dezfuli,Dezfuli,وِيلَتِ سی ارثِ بوَمون كه بی کَس موندِنِ,veylate si erse bowamon  ke bi kas mondene,negative,negative,negative
Unclassified,Dezfuli,Dezfuli,بيشترشونِ پِر اولِ ببينُم,bishtareshone per avale bebinom,neutral,neutral,positive
Unclassified,Dezfuli,Dezfuli,اِی جون سی شهرِمون,ey jon si shahremon,positive,positive,positive
Unclassified,Dezfuli,Dezfuli,کلی سلام وَر زنون کُرد كل دنيا اَ كرمانشاه تا كُردستان,koli salām var zanon kord donyā a kermānshāh ta kordestān,neutral,positive,neutral
Unclassified,Dezfuli,Dezfuli,هر وقت نونِ پخت بُنگِمُنِ كُرد. اومون بچونَ قطار وَرِش بنِشستيم و منتظر بمونديم تا نون ری تُوَ بِبِريزِس و بِ داد دَسِمون,har vaght none pokht bongemone kor. owmon bachona ghatār varesh benshastim va montazer bemondim tā non ri towva beberizes va be dād dasemon,neutral,positive,neutral
Unclassified,Dezfuli,Dezfuli,بُردِنُ و اُوُردِن,bowrdeno va owvorden,neutral,neutral,neutral
Unclassified,Dezfuli,Dezfuli,قيل و قال,ghil va ghal,neutral,neutral,negative
Unclassified,Dezfuli,Dezfuli,به اَمون خدا,be amone khodā,positive,neutral,neutral
Unclassified,Dezfuli,Dezfuli,اَر خدا نَخو، برگی اَ درخت نَم اُفتَه,ar khodā nakhowa bargi a derakht nam oftā,neutral,positive,positive
Unclassified,Dezfuli,Dezfuli,اَر نخُوَرديم نون گندم، اما ديدُم دست مردم,"ar nakhowardim non gandom, amā didom daste mardom",neutral,positive,neutral
Unclassified,Dezfuli,Dezfuli,عوُان چيَه كِ تا دست مِن تييَش نكنی،دونِشِ نَمگُشَ؟,"owān chiya ke tā dast mene tiyash nakoni, doneshe namgosha",neutral,neutral,neutral
Unclassified,Dezfuli,Dezfuli,مَر وَرِت زنگ نَزَدُن؟,mar varet zang nazandon,neutral,neutral,neutral
Unclassified,Dezfuli,Dezfuli,قيلِ و قال,ghil va ghal,neutral,neutral,negative
Unclassified,Dezfuli,Dezfuli,عاجز,āgez,negative,negative,negative
Unclassified,Dezfuli,Dezfuli,گُرُختَن,gorokhtan,neutral,negative,negative
Unclassified,Dezfuli,Dezfuli,گوئُم چَقذَر مخو خوش گُذَردَ,gowom chagzar makho khosh gozarda,neutral,positive,positive
Unclassified,Dezfuli,Dezfuli,لعنت وَر بوئَت,laanat var bowat,negative,negative,negative
Unclassified,Dezfuli,Dezfuli,هكرا اُمون اَ هيچكی كمتر نَيسِن,hakerā omon a hichki kamtar naysen,neutral,positive,neutral
Unclassified,Dezfuli,Dezfuli,ايان خيلی خوبَ,iyan kheyli khoba,positive,positive,positive
Unclassified,Dezfuli,Dezfuli,فقط صبر سی یکی از بازیا شِرینت,faght sabr si yeki bāziya sherinet,neutral,neutral,positive
Unclassified,Dezfuli,Dezfuli,سی تشِ نويی صبرِ كنيم,si tashe nowei sabr konim,neutral,neutral,neutral
Unclassified,Dezfuli,Dezfuli,یعنی نَمسازِهَ,yani namsāzeha,neutral,neutral,negative
Unclassified,Dezfuli,Dezfuli,اَرچِ ده تا كارگر دارَ، پونزده سال طولِ كَشَ,arche dah tā kārgar dāra ponzdah sāl tole kasha,negative,neutral,negative
Unclassified,Dezfuli,Dezfuli,مَرسی بقیه مردمم پِ طَيارِ بِرُوِن لوگار,maresi baghiyeh mardomam pe tayāre berown logār,neutral,neutral,negative
Unclassified,Dezfuli,Dezfuli,ساختن ای فرودگاهم لِف رفتن بِ مريخَ,sākhtan i forodgah lefe raftan be merikha,negative,neutral,neutral
Unclassified,Dezfuli,Dezfuli,كرم اَ خود درختَ,kerm a khod derakhta,negative,neutral,negative
Unclassified,Dezfuli,Dezfuli,دَر باغَ كه ديديم مَرِسی كلِ باغَ ديديمَ,dar bāgh ke didim maresi kole bāgha didima,neutral,neutral,neutral
Unclassified,Dezfuli,Dezfuli,قِصَنِ اَر مِ شيشه هم كُنی دَرزِ كُنِ در,ghesane ar me shisheh ham koni darz kone dar,neutral,neutral,negative
Unclassified,Dezfuli,Dezfuli,قصه تا مِنِ دِلتَ مالِ خوتَ,gheseh tā mene delta māle khota,neutral,positive,negative
Unclassified,Dezfuli,Dezfuli,دلت سفره نی كه وَر كل گُشيِش,delet sofreh ni ke var kol goshish,neutral,neutral,negative
Unclassified,Dezfuli,Dezfuli,خرسِ بَسِنِ به آهنگری,kherse basen be āhangari,neutral,neutral,neutral
Unclassified,Dezfuli,Dezfuli,اَر وَنت اوِ مِن هاونِ كند كويی نَمهِلَت بيكار بويی,ar vanet ow men hāvane kond kowi namhalat bikar bowi,neutral,negative,negative
Unclassified,Dezfuli,Dezfuli,کور اَر نَروِ بازار، بازار گَندَ,"kor ar narowe bāzār, bāzār ganda",neutral,negative,negative
Unclassified,Dezfuli,Dezfuli,كارِت تَمومَ,kāret tamoma,negative,negative,negative
Unclassified,Dezfuli,Dezfuli,چَه كن هميشه ته چه است,chah kan hamisheh tah chah ast,negative,negative,negative
Unclassified,Dezfuli,Dezfuli,قیْمت غذا نسبت به حجم غذا خيلی خیلی گرون است ساندویچ هیولای ژامبون در حد بچه غول هم نَبيد و اصنم هم خوشمزه نبید ولی ساندویچ چوریتسو عالی و بسیار بسیار خوشمزه بید,ghaymet ghazā nesbat be hajm ghazā kheyli kheyli gron ast sāndevich hayolāye jhambon dar had bache ghol ham nabid va asanam ham khoshmazeh nabid vali sāndevich choritso āali va besyār besyār khoshmaze bid,neutral,negative,positive
Unclassified,Dezfuli,Dezfuli,بی زحمت اَ عكسا اينترنتی استفاده نكنيد و عكس همون چيه وَنيد. خُب ای كجا و او كجا. متاسفم,bi zahmat a aksā interneti estefādeh nakonid va akse hamon chiyeh vanid. khob i kojā va o kojā. moteasefam,negative,negative,negative
Unclassified,Dezfuli,Dezfuli,كَپِس بيد,kapes bid,negative,neutral,negative
Unclassified,Dezfuli,Dezfuli,اَ جا كيك وانيلی کاکائویی، کیک کاکائویی ساده فِرستادِن بيد,"a jā keyke vānili kākāoei, keyke kākāoei sādeh ferestāden bid.",neutral,positive,neutral
Unclassified,Dezfuli,Dezfuli,خورشش مِزه اوِ داد و ٩٥٪؜ حجم قيمش لپه بيد. اصن نَمگُمِت گِری,khoreshesh mezeh owe dād va 95% hajm gheymash lapeh bid. asan nagomet geri.,negative,positive,neutral
Unclassified,Dezfuli,Dezfuli,خیلی خوب و سر وقت، ممنونم,"kheyli khob va sar vaght, mamnonam.",positive,positive,neutral
Unclassified,Dezfuli,Dezfuli,حجم ساندویچش کلا نصف بوِس بيد,hajm sāndevichesh kolan nesf bowes bid,negative,negative,neutral
Unclassified,Dezfuli,Dezfuli,همه چی خوب، فقط جای یَ چنگال خالی بید,"hame chi khob, faghat jaye ya changāl khāli bid",positive,neutral,positive
Unclassified,Dezfuli,Dezfuli,کَلِ بيد و بو گوشتِ داد,kale bid va bo  goshte dād,negative,negative,positive
Unclassified,Dezfuli,Dezfuli,اول اين كه بو بدی بداد بعدشم به همه چی بُرد الا رست بیف. مُنِ يادِ گوشت آب پز مِن ديزی بِس. خیلیِ فيس بيد. نونش راق بيد و بد مِزِه. زیاد او نریزید مِنِش. بعد ايان اَ ايچون دَ گِ چی نَمخوام,avāl inke boye badi dāsht badesham be hame chi bord elā rostbif. mone yāde gosht āb paz men dizi bes. kheyli fes bid. nonesh rāgh bid va bad meze. ziyād ow narizid menesh. bade iyān a ichon da ge chi namkhām,negative,negative,negative
Unclassified,Dezfuli,Dezfuli,پَ اَچِ نَميايی؟,pa ache namyāei,neutral,neutral,negative
Unclassified,Dezfuli,Dezfuli,اُمونَم بِمياييم,omonam bemyāeim,neutral,neutral,positive
Unclassified,Dezfuli,Dezfuli,دِ يَلا,de yalā,neutral,neutral,neutral
Unclassified,Dezfuli,Dezfuli,پَ كِجايی كَسونُم؟,pa kejāei kasonom,positive,negative,negative
Unclassified,Dezfuli,Dezfuli,دِ بيا روييم نهار خورييم. وِيلَتِه چِ فِگِری خُوَردَم، دِلُم شيوِس,"de biyā roim nahār khowarim. veylateh che fegeri khowardam, delom shives",negative,negative,negative
Unclassified,Dezfuli,Dezfuli,مُنُ تونو حسن,mono tono hasan,neutral,neutral,neutral
Unclassified,Dezfuli,Dezfuli,گل و بلبل و سنبل,golo bolbolo sonbol,neutral,neutral,positive
Unclassified,Dezfuli,Dezfuli,۵+۴+۳,5+4+3,neutral,neutral,neutral
Unclassified,Dezfuli,Dezfuli,اوخِی پَ اَچِ نَومِيیَ,okhey pa ache naowmeya,neutral,neutral,negative
Unclassified,Dezfuli,Dezfuli,قَلُم بُرِس,ghalom bores,negative,negative,neutral
Unclassified,Dezfuli,Dezfuli,پَ اَچِ اَقدَر فس فسِ كُنی,pa ache aghdar fes fese koni,negative,negative,negative
Unclassified,Dezfuli,Dezfuli,اَ يَرَ دِگِ ايطور بييِس پِيِش دعوا كُنُم, aa yara dege itor biyes peyesh daavā konom,negative,negative,negative
Unclassified,Dezfuli,Dezfuli,اَ چَن خوب بيد دِلُم شِوِس,a chan khob bid delom sheves,negative,negative,positive
Unclassified,Dezfuli,Dezfuli,سی چِ؟,si che,neutral,neutral,neutral
Unclassified,Dezfuli,Dezfuli,مِ كار يا شخص خطرناكی دَر اوفتيديِه,me kār yā shakhse khatarnāki dar oftidiyeh,negative,negative,negative
Unclassified,Dezfuli,Dezfuli,خدا دونِه خجيجه,khodā done khajijeh,neutral,neutral,neutral
Unclassified,Dezfuli,Dezfuli,ايسون هم عَقذَر شَنگولی خوب نی,ison ham aghdar shangoli khob ni,neutral,positive,positive
Unclassified,Dezfuli,Dezfuli,مَر كسی وَندَ دومات,mar kasi vanda domat,neutral,positive,neutral
Unclassified,Dezfuli,Dezfuli,نون گَنُم سی هضمِش گَدِ فولادی مَخو,non ganom si hazmesh gade foladi makho,negative,negative,neutral
Unclassified,Dezfuli,Dezfuli,ای شخص خیلی كَلولَ,i shakhs kheili kalola,negative,negative,negative
Unclassified,Dezfuli,Dezfuli,چَقو تيز سی بره نر اومَسَ,chago tizi si bare nar omasa,neutral,negative,neutral
Unclassified,Dezfuli,Dezfuli,سی خودت خُوَر سی مردم پوش,si khodat khowar si mardom poshā,neutral,positive,neutral
Unclassified,Dezfuli,Dezfuli,سُفره بويَت سَر كيچَس,sofre boyat sar kichas,negative,negative,neutral
Unclassified,Dezfuli,Dezfuli,ای شکوفه‌ها چَقذَر قشنگن,i shokofehā chaghzar ghasghangan,positive,positive,positive
Unclassified,Dezfuli,Dezfuli,هوشتون,hosheton,neutral,neutral,neutral
Unclassified,Dezfuli,Dezfuli,خدا خرُ اِشناخت كه شاخ نداش,khodā kharo eshnākht ke shākh nadāsh,negative,neutral,negative
Unclassified,Dezfuli,Dezfuli,مارِ كُشتَ اما بچشو هَشتِ زِندَ,mār koshta amā bachasho hesht zenda,negative,neutral,neutral
Unclassified,Dezfuli,Dezfuli,جنگلی که شتر دیدَ,jangali ke shotor dida,neutral,neutral,neutral
Unclassified,Dezfuli,Dezfuli,تیِ زمسّون كورَ,tie zemeson kora,negative,neutral,neutral
Unclassified,Dezfuli,Dezfuli,گربَنَ لرزُندِش,gorbana larzondesh,neutral,neutral,neutral
Unclassified,Dezfuli,Dezfuli,صِدقِ سرت عيبی ندارَ,sedghe saret eybi nadāra,positive,positive,negative
Unclassified,Dezfuli,Dezfuli,پِتِش چَقدَر تَپُسَ لُواش لِف قين عنترِن ,petesh chaghdar taposa lowāsh lef ghin antaran,negative,negative,negative
Unclassified,Dezfuli,Dezfuli,مَرِسی عَ قين فيل اُفتيدَ  ,maresi a ghin fil oftida,negative,negative,neutral
Unclassified,Dezfuli,Dezfuli,تو نو خدا فَرما هوُش ,to no khodā farmā hosh,neutral,positive,positive
Unclassified,Dezfuli,Dezfuli,عبده ایی یان کی بید؟,abde iyaān ki bid,neutral,neutral,neutral
Unclassified,Dezfuli,Dezfuli,غلوم پِ اُرِ سیَه اومَّه دخترَ برد قصر شاه پریون.,gholom pe or siyah ome dokhtara bord ghasr shāh pariyon,neutral,positive,neutral
Unclassified,Dezfuli,Dezfuli,ای وب چَنی قشنگَه,i veb chani ghashanga,positive,neutral,positive
Unclassified,Dezfuli,Dezfuli,مَخوم یَقه‌مَه دِروم,makhom yaghama derom,negative,negative,neutral
Unclassified,Dezfuli,Dezfuli,تَش به كارِت ,tash be kāret,negative,negative,positive
Unclassified,Dezfuli,Dezfuli,هر چه مارِش دوُنا بيد خودش مَرِسی زِيَس ,har che māresh donā bid khodesh maresi zeyas,negative,negative,negative
Semnani,Semnani,Semnani,دارون مٍشین,dārun meshin,neutral,neutral,neutral
Semnani,Semnani,Semnani,خٍرس ژو بَخورِه، مٍتٍرکییِه (ژو می مٍریژییَن),"khers zho bakhure, meterkiye zho mi merizhiyan",negative,negative,negative
Semnani,Semnani,Semnani,وَشُنون,vashonun,negative,neutral,neutral
Semnani,Semnani,Semnani,اَ چایی مٍناخارون,a chāii menākhārun,negative,neutral,neutral
Semnani,Semnani,Semnani,عالی با، بوسا تَه جُوْن، تَه دُوْر بَگٍردون,"āli bā, busā ta jown, ta dowr bagerdun",positive,positive,positive
Semnani,Semnani,Semnani,اَفتُو کُمین وَر پی بیرین اٍمیچی؟,aftow komin var pi birin emichi,neutral,positive,neutral
Semnani,Semnani,Semnani,خُدِه ژو بوکوآچی,khode zho bukuāchi,negative,negative,negative
Semnani,Semnani,Semnani,چیچی دُرُست کٍرچَه؟,chichi dorost kercha,neutral,neutral,neutral
Semnani,Semnani,Semnani,دُختٍری دارَن مٍشین,dokhteri dāran meshin,neutral,neutral,neutral
Semnani,Semnani,Semnani,دُختٍری دٍرشُن مٍشِن,dokhteri dershon meshen,neutral,neutral,neutral
Semnani,Semnani,Semnani,رٍوانشٍناسی بُرمِه رَه خاصییٍّتی زیادی بٍشمارچیشُن و بُرمَه بٍجٍندییُن بٍرایی فٍشار و دٍلواسِه وُ تَحَمُّلی دَردی و غَم و غُصتِه خُوْ مٍزُنَن.,revānshenāsi borme ra khāsiyyeti ziyādi beshmārchishon o borma bejendiyon berāyi feshār o delvāse vo tahammoli dardi o gham o ghoste khow mezonan.,neutral,neutral,positive
Semnani,Semnani,Semnani,اون مُرٍبّا بُخوردییُن دارِه,oun morebbā bokhurdiyon dāre,positive,positive,positive
Semnani,Semnani,Semnani,دٍلَه عُمرین، چٍنین چیزایی نَخورچَن.,"dela omrin, chenin chizāyi nakhurchan.",positive,positive,negative
Semnani,Semnani,Semnani,جٍنییَه وَچِه چٍطُوْرییَن؟,jeniya vache chetowriyan,positive,positive,neutral
Semnani,Semnani,Semnani,شٍما دَست دَردی نَکٍرِه بابٍتی پَخش واکٍردی اٍن کٍلیپین دَربارِه‌ای گیوِه‌یی هِرسینی,shemā dast dardi nakere bābeti pakhsh vākerdi en kelipin darbāreii giveyi hersini,positive,positive,positive
Semnani,Semnani,Semnani,صِه داد و بیداد بٍرایی هَما پییٍرون کو بی پُشت و پٍناه بٍمُنچَن,se dād o bidād berāyi hamā piyerun ko bi posht o penā bemonchan,negative,positive,negative
Semnani,Semnani,Semnani,ویشتٍرییون، اُوْلٍمین دَفَه‌یَه کو مِینون.,"vishteriyun, owlemin dafaya ko meynun.",positive,neutral,neutral
Semnani,Semnani,Semnani,اِی جان، هَما شَهری رَه.,"ey jān, hamā shahri ra.",positive,positive,positive
Semnani,Semnani,Semnani,سٍلامی فٍراوُنی بٍر کُردی جٍنی، کٍرمُنشاه پی بَگیر تا کُردٍستان,"selāmi ferāvoni ber kordi jeni, kermonshā pi bagir tā kordestān",positive,positive,positive
Semnani,Semnani,Semnani,هَر وَخت نون مٍپٍتِش هَما صٍدا مٍکٍردِش. هَما زِکَه زَرییَن هَمَه ای رَج ژین پَلی مٍنییٍستین و چَش بٍه رِه مٍمُندین تا نون دیمَه ساجی بٍرٍشتَه وابو وُ هَما دَست اٍندِه.,har vakht nun mepetesh hamā sedā mekerdesh. hamā zeka zariyan hama i raj zhin pali meniyestin o chash be re memondin tā nun dima sāji bereshta vābu vo hamā dast ende.,positive,positive,positive
Semnani,Semnani,Semnani,بٍبٍرد و بیارد,beberd o biyārd,neutral,positive,positive
Semnani,Semnani,Semnani,داد و فٍریا,dād o feryā,negative,negative,negative
Semnani,Semnani,Semnani,خُدا نیگٍهدار,khodā nigehdār,neutral,positive,negative
Semnani,Semnani,Semnani,اَگٍر اَمری حَضرٍتی حَقّي نَبو، اییَه وَلگَه دارین پی مَنٍکِه.,"ager amri hazreti haqqy nabu, iya valga dārin pi maneke.",negative,positive,positive
Semnani,Semnani,Semnani,اَگٍر گُندُمین نون نَخورچیمُن، مَرتُمُن دَست بٍدیچیمُن,"ager gondomin nun nakhurchimon, martomon dast bedichimon",negative,positive,positive
Semnani,Semnani,Semnani,اون چیچییَه کو تا دَست ژو دِلَه چَشون نَکِرا، آلَه مِناکٍرِه؟,"oun chichiya ko tā dast zho dela chashun nakerā, āla menākere",neutral,neutral,neutral
Semnani,Semnani,Semnani,مِگَه تَه رَه زَنگَه نَکوآچیشُن؟,mega ta ra zanga nakuāchishon,neutral,neutral,neutral
Semnani,Semnani,Semnani,فٍریا,feryā,negative,negative,negative
Semnani,Semnani,Semnani,هٍلاک,helāk,negative,negative,negative
Semnani,Semnani,Semnani,بُوْریت,bowrit,negative,negative,negative
Semnani,Semnani,Semnani,مو رَه با چٍقٍد خُوْ مٍبو,mo ra bā cheqed khow mebu,positive,neutral,neutral
Semnani,Semnani,Semnani,نَلٍت بٍر تَه پییٍر,nalet ber ta piyer,negative,negative,negative
Semnani,Semnani,Semnani,هَما هَکٍری هِچ چی پی مَنٍتٍرسَن,hamā hakeri hech chi pi manetersan,positive,positive,positive
Semnani,Semnani,Semnani,خِیلی جالٍب مٍبو,kheyli jāleb mebu,positive,positive,positive
Semnani,Semnani,Semnani,فَقٍد مُنتَظٍری ای وازی‌یی شٍرینی با,faqed montazeri i vāziyi sherini bā,negative,positive,neutral
Semnani,Semnani,Semnani,هَما مُنتَظٍری تازَه‌تٍرین آتٍشی مٍمُنین,hamā montazeri tāzaterin āteshi memonin.,neutral,positive,positive
Semnani,Semnani,Semnani,یَعنی اٍن کو ساختَه مَنٍبو.,yani en ko sākhta manebu,negative,negative,negative
Semnani,Semnani,Semnani,با اٍنی کو دَس کاریگٍری دَرَن، پُنزَه سالی طول مِنجِه.,"bā eni ko das kārigeri daran, ponza sāli tul menje.",negative,negative,negative
Semnani,Semnani,Semnani,خالمٍکَه اَفرادی دیگٍری هَم با هٍواپِیمِن لوگٍر مٍشین.,khālmeka afrādi digeri ham bā hevāpeymen luger meshin.,neutral,neutral,neutral
Semnani,Semnani,Semnani,ساختی اٍن فُرودگِن هَم مٍثلی مٍرّیخ بٍشییُنی مٍمُنِه.,sākhti en forudgen ham mesli merrikh beshiyoni memone.,negative,negative,negative
Semnani,Semnani,Semnani,میوَه دارین کٍرم، ژین پی‌یَه.,"miva dārin kerm, zhin piya.",negative,negative,negative
Semnani,Semnani,Semnani,بیرینی رَزی کو بٍدیمُن، خالمٍکَه تا تَیی رَزی بٍدیچیمُن,"birini razi ko bedimon, khālmeka tā tayi razi bedichimon",positive,negative,positive
Semnani,Semnani,Semnani,حٍکاتی اَگٍه دٍلَه شیشِه کَه، بازَم بٍه بیرین دَرز ماکٍرِه.,"hekāti age dela shishe ka, bāzam be birin darz mākere.",negative,negative,negative
Semnani,Semnani,Semnani,حٍکاتی تا دٍلَه دٍلی دار، ژُن اٍختیار تَه دَست دَرَه.,"hekāti tā dela deli dār, zhon ekhtiyār ta dast dara.",neutral,neutral,positive
Semnani,Semnani,Semnani,دٍل سُفرَه کو نییَه، هَمُنُن گَل هیلا واکَه.,"del sofra ko niya, hamonon gal hilā vāka.",negative,neutral,neutral
